id,movie_id,fan_count
1,99,108856
2,98,4602379
3,121,4602379
4,107,105620
5,275,0
6,277,262011
7,293,0
8,273,0
9,294,0
10,295,0
11,298,0
12,137,606966
13,138,983009
14,139,12393777
15,140,1884720
16,141,3344018
17,142,0
18,143,91509
19,144,740050
20,145,395042
21,146,118808
22,272,173749
23,147,1358484
24,148,1358484
25,149,1358484
26,150,1358484
27,151,529720
28,152,451274
29,153,96063
30,154,84787
31,155,1358485
32,156,1358485
33,157,1358485
34,158,1358485
35,159,1358485
36,160,1358485
37,161,529720
38,162,529720
39,171,529720
40,173,529720
41,175,529720
42,177,529720
43,210,529720
44,212,529720
45,214,529720
46,237,451274
47,239,451274
48,241,451274
49,243,451274
50,245,451274
51,247,451274
52,249,451274
53,252,451274
54,253,451275
55,254,96063
56,255,96063
57,256,96063
58,257,96063
59,258,96063
60,259,96063
61,260,96063
62,261,96063
63,262,84788
64,263,84788
65,264,84788
66,265,84788
67,266,84788
68,267,84788
69,268,84788
70,269,84788
71,270,84788
72,271,96063
73,283,0
74,284,0
75,276,262013
76,287,105620
77,290,0
78,278,""
79,279,262013
80,288,105620
81,289,0
82,281,1333006
83,282,38668
84,297,0
85,292,0
86,299,0
87,296,0
88,300,0
89,1,2595334
90,2,8789406
91,50,7427432
92,51,7427432
93,52,7427432
94,53,1333006
95,54,1333006
96,55,1333006
97,57,2140486
98,58,38492094
99,60,38668
100,61,110687
101,72,4479345
102,78,2503
103,79,2503
104,80,2503
105,81,2503
106,82,2503
107,96,500504
108,97,8980363
109,125,1389735
110,126,0
111,127,0
112,128,0
113,129,2081053
114,130,78363
115,131,78363
116,132,1071499
117,133,58790
118,134,198273
119,135,493553
120,136,29874
121,274,0
